"words","dataset"
"collect","orig"
"communiti","orig"
"deceiv","orig"
"desert","orig"
"famili","orig"
"fellow","orig"
"foreign","orig"
"group","orig"
"individu","orig"
"member","orig"
"nation","orig"
"side","orig"
"togeth","orig"
"trait","orig"
"unit","orig"
"collect","orig"
"collect","orig"
"collect","orig"
"collect","orig"
"communiti","orig"
"deceiv","orig"
"deceiv","orig"
"deceiv","orig"
"decept","orig"
"decept","orig"
"desert","orig"
"desert","orig"
"desert","orig"
"desert","orig"
"famili","orig"
"fellow","orig"
"foreign","orig"
"group","orig"
"group","orig"
"group","orig"
"indvidu","orig"
"indvidu","orig"
"individu","orig"
"individu","orig"
"member","orig"
"nation","orig"
"side","orig"
"togeth","orig"
"trait","orig"
"unit","orig"
"unit","orig"
"unit","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"famili","all_exp1"
"friend","all_exp1"
"cheat","all_exp1"
"faith","all_exp1"
"relationship","all_exp1"
"respect","all_exp1"
"trust","all_exp1"
"lie","all_exp1"
"truth","all_exp1"
"husband","all_exp1"
"love","all_exp1"
"selfish","all_exp1"
"best","all_exp1"
"dog","all_exp1"
"hate","all_exp1"
"honesti","all_exp1"
"reveng","all_exp1"
"honest","all_exp1"
"honor","all_exp1"
"backstabb","all_exp1"
"boyfriend","all_exp1"
"untrustworthi","all_exp1"
"benedict","all_exp1"
"traitor","all_exp1"
"true","all_exp1"
"broken","all_exp1"
"disrespect","all_exp1"
"dishonest","all_exp1"
"backstab","all_exp1"
"countri","all_exp1"
"patriot","all_exp1"
"friendship","all_exp1"
"devot","all_exp1"
"fals","all_exp1"
"back","all_exp1"
"harm","all_exp1"
"pet","all_exp1"
"valu","all_exp1"
"bad","all_exp1"
"good","all_exp1"
"integr","all_exp1"
"anger","all_exp1"
"sad","all_exp1"
"wrong","all_exp1"
"group","all_exp1"
"king","all_exp1"
"trustworthi","all_exp1"
"commit","all_exp1"
"stab","all_exp1"
"hurt","all_exp1"
"care","all_exp1"
"hatr","all_exp1"
"peopl","all_exp1"
"enemi","all_exp1"
"wife","all_exp1"
"girlfriend","all_exp1"
"secret","all_exp1"
"knight","all_exp1"
"mean","all_exp1"
"mistrust","all_exp1"
"distrust","all_exp1"
"pain","all_exp1"
"betray","all_exp1"
"loyalti","all_exp1"
"heartbreak","all_exp1"
"dishonor","all_exp1"
"loyal","all_exp1"
"treason","all_exp1"
"bond","all_exp1"
"deceit","all_exp1"
"promis","all_exp1"
"evil","all_exp1"
"rude","all_exp1"
"right","all_exp1"
"fight","all_exp1"
"marriag","all_exp1"
"liar","all_exp1"
"happi","all_exp1"
"leav","all_exp1"
"respons","all_exp1"
"lost","all_exp1"
"reliabl","all_exp1"
"unfaith","all_exp1"
"juda","all_exp1"
"import","all_exp1"
"disappoint","all_exp1"
"spous","all_exp1"
"support","all_exp1"
"husband","reduce_exp1"
"wife","reduce_exp1"
"state","reduce_exp2"
"whole","reduce_exp2"
"help","reduce_exp2"
"children","reduce_exp2"
"sever","reduce_exp2"
"mean","reduce_exp2"
"ruin","reduce_exp2"
"excus","reduce_exp2"
"close","reduce_exp2"
"religi","reduce_exp2"
"resolv","reduce_exp2"
"relat","reduce_exp2"
"earth","reduce_exp2"
"concept","reduce_exp2"
"energi","reduce_exp2"
"clean","reduce_exp2"
"separ","reduce_exp2"
"purpos","reduce_exp2"
"reduc","reduce_exp2"
"reach","reduce_exp2"
"illeg","reduce_exp2"
"conserv","reduce_exp2"
"wise","reduce_exp2"
"ecosystem","reduce_exp2"
"mine","reduce_exp2"
"mental","reduce_exp2"
