"x"
"also"
"can"
"help"
"peopl"
"behind"
"mine"
"think"
"entiti"
"longer"
"polit"
"within"
"taken"
"ago"
"wast"
"rememb"
"remov"
"handl"
"turn"
"line"
"compani"
"polici"
"profit"
"john"
"injur"
"reach"
"bill"
"red"
"strike"
"gase"
"altern"
"suggest"
"grew"
"guy"
"misus"
"gone"
"wise"
