x,use
state,1
also,0
handl,1
help,1
can,0
befor,1
polit,1
cant,0
wasnt,0
ridicul,1
strike,1
turn,1
absolut,1
ask,1
taken,1
toler,1
abid,1
guy,1
injur,1
excus,1
close,1
religi,1
longer,1
john,0
red,1
compani,1
polici,1
wast,1
purpos,1
remov,1
relat,1
reach,1
religion,1
behind,1
entiti,1
forth,1
illeg,1
gase,1
gay,1
ago,0
grew,1
revers,1
deni,1
separ,1
financi,1
bill,1
wise,1
rememb,1
mine,1
blockhead,1
heck,1
