x,use
human,1
peopl,1
unit,1
right,1
allow,1
period,1
fight,1
throw,1
capabl,1
common,1
religion,1
ground,1
carbon,0
econom,1
emiss,0
speak,1
grew,1
safer,1
anim,1
effici,1
