x,use
state,1
also,0
polic,1
definit,1
befor,1
especi,0
god,1
citizen,1
point,1
shown,1
clear,1
turn,1
absolut,1
ask,1
busi,1
murder,1
fulli,1
abus,1
mother,1
occur,1
excus,1
religi,1
besid,1
concept,1
violenc,1
certain,1
effort,1
incent,1
compani,1
liter,1
polici,1
none,1
fall,1
reach,1
cleaner,1
entiti,1
ultim,1
gender,1
marri,1
revers,1
father,1
accid,1
separ,1
studi,1
wise,1
rememb,1
partner,1
