Source,Url,Text
HANNITY,https://www.hannity.com/media-room/grassley-kavanaugh-hearings-will-be-canceled-if-accuser-fails-to-show-up/,"GRASSLEY: Kavanaugh Hearings Will be CANCELED if Accuser Fails to Show UpSenate Judiciary Chairman Chuck Grassley drew a line in the sand regarding Brett Kavanaughís sexual misconduct hearings Tuesday, saying he plans to cancel the entire event should his accuser fail to ìshow up.îGrassley was speaking with Hugh Hewitt Tuesday when he confirmed his office has reached out to Christine Blasey Ford ìthree or four timesî in the last 36 hours but have so far failed to hear from her† or her attorney.ìWe have reached out to her in the last 36 hours three or four times by email and we have not heard from them, and it kind of raises the question, do they want to come to the public hearing or not?î said Grassley.ìWhat would be the purpose of the hearing if Dr. Ford doesnít want to respond?î he asked.Senate Majority Leader Mitch McConnell echoed Grassleyís comments Tuesday, saying ìMonday is her opportunityî to address Congressional leaders.Read the full story at Fox News."
HANNITY,https://www.hannity.com/media-room/president-trump-democrats-should-have-released-kavanaugh-allegations-a-lot-sooner/,"PRESIDENT TRUMP: Democrats Should Have Released Kavanaugh Allegations ëA Lot SooneríPresident Trump weighed-in Monday on allegations of sexual misconduct surrounding his Supreme Court nominee, saying Judge Kavanaugh is ìone of the finest peopleî heís ever known and the government will ìgo through a processî to make sure ìeverything is just rightî before his confirmation.The President was speaking with reporters at the White House when he was asked to comment on Kavanaughís nomination process; adding he wished Sen. Feinstein had released the information ìa lot sooner.îTrump calls Kavanaugh ìone of the finest people that Iíve ever knownî whoís ìnever had even a little blemish on his record,î adding ìwe want to go through a full processî #tictocnews pic.twitter.com/82NTLcDJPzó TicToc by Bloomberg (@tictoc) September 17, 2018ìJudge Kavanaugh is one of the finest people that Iíve ever known [Ö] Never even had a little blemish on his record,î said Trump.ìHe is somebody very special, At the same time we want to go through a process, we want to make sure everything is just right. I wish the Democrats could have done this a lot sooner, because they had this information for many months, and they shouldnít have waited,î he added."
HANNITY,https://www.hannity.com/media-room/grassley-speaks-senate-judiciary-chairman-releases-kavanaugh-statement/,"GRASSLEY SPEAKS: Senate Judiciary Chairman Releases Kavanaugh StatementChairman of the Senate Judiciary Committee Chuck Grassley released a statement regarding President Trumpís pick to join the Supreme Court Monday afternoon; saying Brett Kavanaughís accuser ìdeserves to be heardî in an ìappropriate manner.îGrassley officially commented on the growing controversy just days after Sen. Dianne Feinstein disclosed a letter sent to the FBI that contained allegations of sexual misconduct when Kavanaugh attended high school approximately 35 years ago.ìAnyone who comes forward as Dr. Ford has deserves to be heard, so I will continue working on a way to hear her out in an appropriate,†precedented and respectful manner,î said the statement from Grassleyís office.The Senator added the Judiciary Committee will be ìworking diligently to get to the bottom of these claims.îìThe standard procedure for updates to any nomineeís background investigation file is to conduct separate follow-up calls with relevant parties,î said the statement.Read the full report at the Hill."
HANNITY,https://www.hannity.com/media-room/diannes-curveball-sen-feinstein-sends-secret-letter-to-fbi-about-kavanaughs-confirmation/,"DIANNEíS CURVEBALL: Sen. Feinstein Sends ëSECRET LETTERí to FBI About Kavanaughís ConfirmationDemocratic Senator Dianne Feinstein stunned her Congressional colleagues Thursday; publicly stating she sent a mysterious letter to the FBI regarding Brett Kavanaughís confirmation hearing.The liberal lawmakerís comments strangely suggest Trumpís Supreme Court pick could be ìguilty of a crimeî as leading Democrats move to delay the confirmation hearings.ìI have received information from an individual concerning the nomination of Brett Kavanaugh to the Supreme Court,î Feinstein said in her last-minute statement. ìThat individual strongly requested confidentiality, declined to come forward or press the matter further, and I have honored that decision. I have, however, referred the matter to federal investigative authorities.îìThroughout his confirmation process, Judge Kavanaugh has had 65 meetings with senatorsóincluding with Senator Feinsteinósat through over 30 hours of testimony, addressed over 2,000 questions in a public setting and additional questions in a confidential session,î said a White House spokesperson. ìNot until the eve of his confirmation has Sen. Feinstein or anyone raised the specter of new ëinformationí about him.îRead the full story at Fox News."
HANNITY,https://www.hannity.com/media-room/kavanaugh-speaks-trumps-court-pick-breaks-silence-on-feinsteins-letter/,"KAVANAUGH SPEAKS: Trumpís Court Pick BREAKS SILENCE on Feinsteinís LetterJudge Brett Kavanaugh broke his silence Friday regarding Sen. Dianne Feinsteinís last-minute attempt to totally derail his confirmation hearings; categorically denying any accusations contained in the legislatorís mysterious letter.ìI categorically and unequivocally deny this allegation. I did not do this back in high school or at any time,î said Kavanaughís statement.Feinstein stunned her colleagues earlier this week by disclosing a letter she sent to the FBI regarding Kavanaughís confirmation.ìI have received information from an individual concerning the nomination of Brett Kavanaugh to the Supreme Court,î Feinstein said in her surprise statement.The FBI has since declined to open an investigation into the undisclosed allegations; forwarding the letter to the White House to be included in Kavanaughís background check.Read the full story at Fox News."
HANNITY,https://www.hannity.com/media-room/hannity-democrats-have-already-convicted-brett-kavanaugh/,"HANNITY: Democrats Have Already Convicted Brett KavanaughSpeaking during his opening monologue from Las Vegas Thursday night, Hannity weighed-in on the leftís response to allegations of sexual misconduct against Judge Brett Kavanaugh; saying Democrats have already convicted the potential justice ìjust by an accusation.îìThese allegations must be taken seriously; her story deserves to be told. Republicans, President Trump, theyíve been treating this situation with the seriousness it deservesÖ Theyíve re-opened the hearings, theyíve invited the professor to speak before Congress,î said Sean.ìDemocrats donít seem to care. Theyíve thrown a principle we hold so dear -the presumption of innocence- out the window. Theyíve already convicted Kavanaugh based on one allegation. According to them, Kavanaugh is guilty just by an accusation. This is dangerous for every American,î he added.Watch Hannityís opening monologue above."
HANNITY,https://www.hannity.com/media-room/sen-warren-brett-kavanaughs-confirmation-process-isnt-over-yet/,"SEN. WARREN: Brett Kavanaughís Confirmation Process ëIsnít Over YetíSen. Elizabeth Warren weighed-in on Judge Brett Kavanaughís confirmation hearing Friday afternoon; saying the process ìisnít over yetî and accused the potential Supreme Court Justice of ìhiding something.îWarren released the video on social media as the Senate Judiciary Committee voted to advance Kavanaughís nomination, with Sen. Jeff Flake urging GOP leadership to delay the full vote ìone weekî for the FBI to investigate allegations of sexual assault.We believe & stand with Dr. Ford. This isnít over yet. Senator Jeff Flake has called for a one-week delay to allow for an FBI investigation. Weíll fight tooth and nail on the Senate floor to stop Brett Kavanaugh from a lifetime appointment to the Supreme Court. pic.twitter.com/YY8clYefSkó Elizabeth Warren (@elizabethforma) September 28, 2018ìWe believe & stand with Dr. Ford. This isnít over yet. Senator Jeff Flake has called for a one-week delay to allow for an FBI investigation. Weíll fight tooth and nail on the Senate floor to stop Brett Kavanaugh from a lifetime appointment to the Supreme Court,î posted Warren."
HANNITY,https://www.hannity.com/media-room/hannity-democrat-senators-enter-freak-out-mode-over-kavanaugh-confirmation/,"HANNITY: Democrat Senators Enter ëFreak-Out Mode' Over Kavanaugh Confirmation Speaking during his opening monologue on ëHannityí Thursday night, Sean weighed-in on the Senateís impending vote on Judge Brett Kavanaugh; saying liberal lawmakers and activists were entering ìfull-on freak-outî mode regarding the potential Supreme Court Justice.ìThe smear merchants on the left are in full-on freak-out mode. Senate Democrats who all demanded an FBI investigation are now trashing that very same investigation,î said Hannity.ìWhile we have exposed the few at the FBI who did abuse their power, weíve always made the point to stand-up for the rank-and-file FBI agentsÖ The FBI acted in a fair, independent manner. Some on the left just donít like the results,î said Sean.ìWhat is the FBI supposed to do? We donít have a location, no date, no physical evidence, no forensic evidence; we donít even know the day of the week,î he added.Watch Hannityís opening monologue above."
HANNITY,https://www.hannity.com/media-room/it-was-that-bad-even-justice-ginsburg-says-kavanaugh-hearings-were-wrong-for-america/,"IT WAS THAT BAD: Even Justice Ginsburg Says Kavanaugh Hearings Were ëWRONGí for AmericaLiberal Supreme Court Justice Ruth Bader Ginsburg weighed-in Wednesday on Brett Kavanaughís wild confirmation hearings; saying the current partisan antics were ìwrongî for the country.Ginsburg was speaking at the George Washington University in Washington, DC this week when she was asked to comment on Kavanaughís confirmation process, simply saying ìthe way it is, is wrong.îìThe way it was, was right,î said Ginsburg. ìThe way it is, is wrong. The atmosphere in í93 was truly bipartisan.îGinsburg was confirmed by the US Senate in 1993 by a bipartisan vote of 96-3 despite widespread concerns regarding her 10 year career on the ACLU board."
HANNITY,https://www.hannity.com/media-room/harris-defiant-sen-kamala-harris-asks-supporters-to-sign-petition-against-kavanaugh/,"HARRIS DEFIANT: Sen. Kamala Harris Asks Supporters to Sign Petition Against KavanaughSen. Kamala Harris shrugged off the recently released FBI report regarding Judge Brett Kavanaugh Thursday; asking her supporters to sign an online petition against the potential Supreme Court Justice.ìWe need just 198,248 more people to reach our new goal of 1.5 million Americans against Brett Kavanaughís nomination to the Supreme Court of the United States. Will you add your name right now?î asked the liberal legislator Thursday morning.We need just 198,248 more people to reach our new goal of 1.5 million Americans against Brett Kavanaughís nomination to the Supreme Court of the United States. Will you add your name right now?ó Kamala Harris (@KamalaHarris) October 4, 2018The left-wing lawmakerís comments echo those of Senators Schumer and Feinstein; who have vowed to fight Kavanaughís nomination despite the FBI finding ìno corroborating evidenceî of sexual misconduct in the early 1980s."
