"words","dataset"
"abid","orig"
"author","orig"
"class","orig"
"command","orig"
"control","orig"
"defect","orig"
"defer","orig"
"defi","orig"
"desert","orig"
"duti","orig"
"faith","orig"
"father","orig"
"honor","orig"
"law","orig"
"lead","orig"
"legal","orig"
"mother","orig"
"obey","orig"
"oppos","orig"
"order","orig"
"permit","orig"
"posit","orig"
"preserv","orig"
"protest","orig"
"refus","orig"
"respect","orig"
"rever","orig"
"serv","orig"
"tradit","orig"
"trait","orig"
"abid","orig"
"abid","orig"
"abid","orig"
"author","orig"
"class","orig"
"class","orig"
"class","orig"
"command","orig"
"command","orig"
"command","orig"
"control","orig"
"control","orig"
"control","orig"
"defect","orig"
"defect","orig"
"defect","orig"
"defer","orig"
"defer","orig"
"defer","orig"
"defer","orig"
"defi","orig"
"defi","orig"
"defi","orig"
"defianc","orig"
"desert","orig"
"desert","orig"
"desert","orig"
"desert","orig"
"duti","orig"
"faith","orig"
"father","orig"
"father","orig"
"father","orig"
"honor","orig"
"honor","orig"
"honor","orig"
"law","orig"
"lead","orig"
"lead","orig"
"mother","orig"
"mother","orig"
"mother","orig"
"obey","orig"
"obey","orig"
"obey","orig"
"oppos","orig"
"oppos","orig"
"oppos","orig"
"order","orig"
"order","orig"
"order","orig"
"permit","orig"
"permit","orig"
"permit","orig"
"posit","orig"
"posit","orig"
"posit","orig"
"preserv","orig"
"preserv","orig"
"preserv","orig"
"preserv","orig"
"protest","orig"
"protest","orig"
"protest","orig"
"refus","orig"
"refus","orig"
"refus","orig"
"refus","orig"
"respect","orig"
"respect","orig"
"respect","orig"
"respect","orig"
"rever","orig"
"rever","orig"
"rever","orig"
"rever","orig"
"serv","orig"
"serv","orig"
"serv","orig"
"tradit","orig"
"tradit","orig"
"trait","orig"
"polic","all_exp1"
"teacher","all_exp1"
"law","all_exp1"
"right","all_exp1"
"boss","all_exp1"
"professor","all_exp1"
"god","all_exp1"
"parent","all_exp1"
"anarchi","all_exp1"
"cop","all_exp1"
"peopl","all_exp1"
"presid","all_exp1"
"rebel","all_exp1"
"revolut","all_exp1"
"manag","all_exp1"
"obedi","all_exp1"
"disrespect","all_exp1"
"hierarchi","all_exp1"
"oppress","all_exp1"
"dictat","all_exp1"
"rule","all_exp1"
"import","all_exp1"
"power","all_exp1"
"elder","all_exp1"
"older","all_exp1"
"sibl","all_exp1"
"man","all_exp1"
"obey","all_exp1"
"control","all_exp1"
"offic","all_exp1"
"principl","all_exp1"
"follow","all_exp1"
"order","all_exp1"
"princip","all_exp1"
"abov","all_exp1"
"destruct","all_exp1"
"higher","all_exp1"
"overthrow","all_exp1"
"respect","all_exp1"
"jail","all_exp1"
"govern","all_exp1"
"punish","all_exp1"
"strict","all_exp1"
"weak","all_exp1"
"submiss","all_exp1"
"command","all_exp1"
"listen","all_exp1"
"watch","all_exp1"
"student","all_exp1"
"ruler","all_exp1"
"superior","all_exp1"
"militari","all_exp1"
"king","all_exp1"
"coach","all_exp1"
"school","all_exp1"
"leader","all_exp1"
"babysitt","all_exp1"
"strong","all_exp1"
"subvers","all_exp1"
"supervisor","all_exp1"
"adult","all_exp1"
"rank","all_exp1"
"author","all_exp1"
"chang","all_exp1"
"forc","all_exp1"
"coup","all_exp1"
"leadership","all_exp1"
"rebellion","all_exp1"
"work","all_exp1"
"riot","all_exp1"
"charg","all_exp1"
"transform","all_exp1"
"father","all_exp1"
"corrupt","all_exp1"
"bad","all_exp1"
"big","all_exp1"
"respons","all_exp1"
"judg","all_exp1"
"domin","all_exp1"
"old","all_exp1"
"enforc","all_exp1"
"dad","all_exp1"
"disrupt","all_exp1"
"sabotag","all_exp1"
"care","all_exp1"
"watch","reduce_exp1"
"subvers","reduce_exp1"
"corrupt","reduce_exp1"
"domin","reduce_exp1"
"state","reduce_exp2"
"handl","reduce_exp2"
"help","reduce_exp2"
"polit","reduce_exp2"
"ridicul","reduce_exp2"
"strike","reduce_exp2"
"absolut","reduce_exp2"
"ask","reduce_exp2"
"taken","reduce_exp2"
"toler","reduce_exp2"
"abid","reduce_exp2"
"injur","reduce_exp2"
"excus","reduce_exp2"
"religi","reduce_exp2"
"relat","reduce_exp2"
"compani","reduce_exp2"
"polici","reduce_exp2"
"separ","reduce_exp2"
"wast","reduce_exp2"
"purpos","reduce_exp2"
"remov","reduce_exp2"
"reach","reduce_exp2"
"religion","reduce_exp2"
"behind","reduce_exp2"
"entiti","reduce_exp2"
"illeg","reduce_exp2"
"gase","reduce_exp2"
"revers","reduce_exp2"
"financi","reduce_exp2"
"bill","reduce_exp2"
"wise","reduce_exp2"
"rememb","reduce_exp2"
"blockhead","reduce_exp2"
