"Word","Freq","percent"
"answer",12,3.26086956521739
"anyon",45,12.2282608695652
"came",4,1.08695652173913
"caus",58,15.7608695652174
"chemic",352,95.6521739130435
"come",62,16.8478260869565
"conclud",2,0.543478260869565
"continu",33,8.96739130434783
"contradict",1,0.271739130434783
"destin",1,0.271739130434783
"disagre",17,4.6195652173913
"disappoint",2,0.543478260869565
"dont",208,56.5217391304348
"fact",51,13.8586956521739
"great",28,7.60869565217391
"harm",65,17.6630434782609
"human",123,33.4239130434783
"ive",7,1.90217391304348
"just",217,58.9673913043478
"let",43,11.6847826086957
"long",48,13.0434782608696
"mindset",2,0.543478260869565
"offic",3,0.815217391304348
"one",175,47.554347826087
"opt",1,0.271739130434783
"peopl",659,179.076086956522
"problem",93,25.2717391304348
"race",11,2.98913043478261
"reign",1,0.271739130434783
"sad",13,3.53260869565217
"set",19,5.16304347826087
"stand",32,8.69565217391304
"term",16,4.34782608695652
"think",445,120.923913043478
"time",100,27.1739130434783
"tyranni",2,0.543478260869565
"use",443,120.380434782609
"want",183,49.7282608695652
"war",97,26.3586956521739
"weapon",366,99.4565217391304
"will",213,57.8804347826087
"arm",8,2.17391304347826
"atroc",4,1.08695652173913
"call",15,4.07608695652174
"collect",4,1.08695652173913
"doesnt",48,13.0434782608696
"done",46,12.5
"fierc",1,0.271739130434783
"horrifi",5,1.35869565217391
"joint",2,0.543478260869565
"make",197,53.5326086956522
"nation",91,24.7282608695652
"need",195,52.9891304347826
"obsolet",1,0.271739130434783
"place",70,19.0217391304348
"react",17,4.6195652173913
"rest",19,5.16304347826087
"someth",128,34.7826086956522
"state",288,78.2608695652174
"strive",1,0.271739130434783
"sure",30,8.15217391304348
"swift",3,0.815217391304348
"syria",295,80.1630434782609
"take",193,52.445652173913
"tragedi",7,1.90217391304348
"unit",255,69.2934782608696
"victim",13,3.53260869565217
"whole",25,6.79347826086956
"almost",8,2.17391304347826
"better",44,11.9565217391304
"bigger",7,1.90217391304348
"good",74,20.1086956521739
"idea",35,9.51086956521739
"posit",22,5.97826086956522
"reaction",54,14.6739130434783
"regret",3,0.815217391304348
"respond",7,1.90217391304348
"uss",6,1.6304347826087
"also",178,48.3695652173913
"begin",22,5.97826086956522
"believ",349,94.8369565217391
"comparison",1,0.271739130434783
"confus",4,1.08695652173913
"duti",5,1.35869565217391
"ethic",11,2.98913043478261
"handl",15,4.07608695652174
"help",157,42.6630434782609
"involv",96,26.0869565217391
"look",48,13.0434782608696
"lost",6,1.6304347826087
"made",59,16.0326086956522
"obama",49,13.3152173913043
"polic",11,2.98913043478261
"poor",7,1.90217391304348
"presid",69,18.75
"putin",2,0.543478260869565
"realli",93,25.2717391304348
"regim",19,5.16304347826087
"right",196,53.2608695652174
"situat",85,23.0978260869565
"sole",7,1.90217391304348
"someon",94,25.5434782608696
"veri",135,36.6847826086957
"vladimir",1,0.271739130434783
"weak",5,1.35869565217391
"world",204,55.4347826086957
"didnt",24,6.52173913043478
"get",201,54.6195652173913
"guess",11,2.98913043478261
"know",114,30.9782608695652
"like",221,60.054347826087
"much",96,26.0869565217391
"persuad",1,0.271739130434783
"probabl",21,5.70652173913043
"rid",6,1.6304347826087
"tri",84,22.8260869565217
"agre",77,20.9239130434783
"aid",9,2.44565217391304
"anoth",68,18.4782608695652
"appropri",10,2.71739130434783
"attack",62,16.8478260869565
"carter",12,3.26086956521739
"children",81,22.0108695652174
"complet",48,13.0434782608696
"countri",236,64.1304347826087
"definit",26,7.06521739130435
"even",106,28.804347826087
"event",12,3.26086956521739
"face",15,4.07608695652174
"got",16,4.34782608695652
