"words","dataset"
"abstain","orig"
"adulteri","orig"
"church","orig"
"clean","orig"
"dirt","orig"
"diseas","orig"
"disgust","orig"
"gross","orig"
"innoc","orig"
"modest","orig"
"preserv","orig"
"promiscu","orig"
"pure","orig"
"right","orig"
"ruin","orig"
"sacr","orig"
"sick","orig"
"sin","orig"
"trash","orig"
"whole","orig"
"abstain","orig"
"abstain","orig"
"abstain","orig"
"abstin","orig"
"adulteri","orig"
"adulter","orig"
"adulter","orig"
"adulter","orig"
"church","orig"
"clean","orig"
"clean","orig"
"clean","orig"
"cleans","orig"
"cleanli","orig"
"dirti","orig"
"diseas","orig"
"diseas","orig"
"disgust","orig"
"disgust","orig"
"disgust","orig"
"gross","orig"
"innoc","orig"
"modesti","orig"
"preserv","orig"
"preserv","orig"
"preserv","orig"
"preserv","orig"
"promiscu","orig"
"promiscu","orig"
"puriti","orig"
"right","orig"
"ruin","orig"
"ruin","orig"
"ruin","orig"
"sacred","orig"
"sick","orig"
"sick","orig"
"sin","orig"
"whole","orig"
"wholesom","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"NA","orig"
"sex","all_exp1"
"faith","all_exp1"
"moral","all_exp1"
"religion","all_exp1"
"honesti","all_exp1"
"truth","all_exp1"
"abus","all_exp1"
"clean","all_exp1"
"virgin","all_exp1"
"whole","all_exp1"
"wrong","all_exp1"
"innoc","all_exp1"
"god","all_exp1"
"ring","all_exp1"
"shame","all_exp1"
"corrupt","all_exp1"
"dirti","all_exp1"
"holi","all_exp1"
"love","all_exp1"
"mean","all_exp1"
"white","all_exp1"
"pure","all_exp1"
"untouch","all_exp1"
"evil","all_exp1"
"good","all_exp1"
"harm","all_exp1"
"honest","all_exp1"
"put","all_exp1"
"right","all_exp1"
"hurt","all_exp1"
"young","all_exp1"
"relationship","all_exp1"
"child","all_exp1"
"rude","all_exp1"
"angel","all_exp1"
"bulli","all_exp1"
"children","all_exp1"
"humili","all_exp1"
"bad","all_exp1"
"ruin","all_exp1"
"nice","all_exp1"
"insult","all_exp1"
"embarrass","all_exp1"
"christian","all_exp1"
"cleanli","all_exp1"
"new","all_exp1"
"perfect","all_exp1"
"church","all_exp1"
"prostitut","all_exp1"
"lost","all_exp1"
"bibl","all_exp1"
"jesus","all_exp1"
"true","all_exp1"
"chastiti","all_exp1"
"clear","all_exp1"
"dove","all_exp1"
"rape","all_exp1"
"unclean","all_exp1"
"mari","all_exp1"
"degrad","all_exp1"
"puriti","all_exp1"
"sin","all_exp1"
"kind","all_exp1"
"heaven","all_exp1"
"respect","all_exp1"
"black","all_exp1"
"religi","all_exp1"
"abstin","all_exp1"
"destroy","all_exp1"
"nasti","all_exp1"
"self","all_exp1"
"water","all_exp1"
"youth","all_exp1"
"women","all_exp1"
"sad","all_exp1"
"someon","all_exp1"
"disrespect","all_exp1"
"freedom","all_exp1"
"old","all_exp1"
"racism","all_exp1"
"belittl","all_exp1"
"judgment","all_exp1"
"corrupt","reduce_exp1"
"church","reduce_exp1"
"state","reduce_exp2"
"polic","reduce_exp2"
"definit","reduce_exp2"
"befor","reduce_exp2"
"god","reduce_exp2"
"citizen","reduce_exp2"
"clear","reduce_exp2"
"turn","reduce_exp2"
"absolut","reduce_exp2"
"busi","reduce_exp2"
"murder","reduce_exp2"
"abus","reduce_exp2"
"mother","reduce_exp2"
"religi","reduce_exp2"
"concept","reduce_exp2"
"violenc","reduce_exp2"
"certain","reduce_exp2"
"effort","reduce_exp2"
"incent","reduce_exp2"
"compani","reduce_exp2"
"polici","reduce_exp2"
"separ","reduce_exp2"
"none","reduce_exp2"
"fall","reduce_exp2"
"reach","reduce_exp2"
"cleaner","reduce_exp2"
"entiti","reduce_exp2"
"liter","reduce_exp2"
"ultim","reduce_exp2"
"gender","reduce_exp2"
"marri","reduce_exp2"
"revers","reduce_exp2"
"father","reduce_exp2"
"accid","reduce_exp2"
"studi","reduce_exp2"
"wise","reduce_exp2"
"rememb","reduce_exp2"
"partner","reduce_exp2"
