x,use
state,1
also,0
handl,1
help,1
can,0
befor,0
polit,1
cant,0
wasnt,0
ridicul,1
strike,1
turn,0
absolut,1
ask,1
taken,1
toler,1
abid,1
guy,0
injur,1
excus,1
close,0
religi,1
longer,0
john,0
red,0
compani,1
polici,1
wast,1
purpos,1
remov,1
relat,1
reach,1
religion,1
behind,1
entiti,1
forth,0
illeg,1
gase,1
gay,0
ago,0
grew,0
revers,1
deni,1
separ,1
financi,1
bill,1
wise,1
rememb,1
mine,0
blockhead,1
heck,0
