"x"
"state"
"also"
"polic"
"definit"
"befor"
"especi"
"god"
"citizen"
"point"
"shown"
"clear"
"turn"
"absolut"
"ask"
"busi"
"murder"
"fulli"
"abus"
"mother"
"occur"
"excus"
"religi"
"besid"
"concept"
"violenc"
"certain"
"effort"
"incent"
"compani"
"polici"
"separ"
"none"
"fall"
"reach"
"cleaner"
"entiti"
"liter"
"ultim"
"gender"
"marri"
"revers"
"father"
"accid"
"studi"
"wise"
"heterosexu"
"rememb"
"partner"
