"x"
"human"
"syria"
"unit"
"also"
"get"
"countri"
"allow"
"fight"
"first"
"friend"
"person"
"import"
"effect"
"abil"
"damag"
"defin"
"certain"
"societi"
"speci"
"build"
"rais"
"hinder"
"union"
