"term","op","estimate","std.error","statistic","p.value","std.lv","std.all"
"harmL =~ Q8_1","=~",0.644790830279989,0.0729214909706666,8.8422606517928,0,0.644790830279989,0.608347156062591
"harmL =~ Q8_2","=~",0.765745398422415,0.0735467329409133,10.4116847588268,0,0.765745398422415,0.689134129000257
"harmL =~ Q8_3","=~",0.385819315867156,0.0850096891163261,4.53853342928011,5.66468166351974e-06,0.385819315867156,0.363584271218289
"harmL =~ harm_reduce","=~",-0.119328161749476,0.124475780086578,-0.95864562299974,0.337737300669374,-0.119328161749476,-0.0534651723222414
"fairL =~ Q8_4","=~",0.822697311438542,0.0694628153641257,11.8437081354383,0,0.822697311438542,0.768345202685827
"fairL =~ Q8_5","=~",0.541449521733898,0.0859852966125817,6.2970012672454,3.03458813633029e-10,0.541449521733898,0.499810461176339
"fairL =~ Q8_6","=~",0.231955234128737,0.0823931775084347,2.81522379817177,0.00487432763540285,0.231955234128737,0.217232435834965
"fairL =~ fair_reduce","=~",0.0976777558571685,0.0942512024469436,1.03635554052643,0.300036303804302,0.0976777558571685,0.0528776367379006
"ingroupL =~ Q8_7","=~",0.843422814403925,0.0668156006350614,12.6231419965914,0,0.843422814403925,0.627942583509211
"ingroupL =~ Q8_8","=~",0.88873806232329,0.0572482240815595,15.5242905187266,0,0.88873806232329,0.725585385943379
"ingroupL =~ Q8_9","=~",1.02694699036991,0.0572354917074382,17.9424856803747,0,1.02694699036991,0.814334986657452
"ingroupL =~ ingroup_reduce","=~",0.0808675531551617,0.088315890122509,0.91566255000074,0.359843913102552,0.0808675531551617,0.0484891509866769
"authorityL =~ Q8_10","=~",1.0125733021088,0.057732507811991,17.539049323932,0,1.0125733021088,0.805955813754673
"authorityL =~ Q8_11","=~",1.00594753699142,0.0676008992137806,14.8806827821953,0,1.00594753699142,0.716745113496921
"authorityL =~ Q8_12","=~",0.486982400995764,0.059550562881858,8.17762884898142,2.22044604925031e-16,0.486982400995764,0.414370633823297
"authorityL =~ authority_reduce","=~",-0.0421612674788982,0.0589307251029215,-0.715437785726619,0.474338571114104,-0.0421612674788982,-0.0397237111290151
"purityL =~ Q8_13","=~",0.955205892634455,0.0669214768778941,14.2735327610498,0,0.955205892634455,0.712999465927229
