"term","op","estimate","std.error","statistic","p.value","std.lv","std.all"
"harmL =~ Q8_1","=~",0.651046736609378,0.0732224786186682,8.89135070119564,0,0.651046736609378,0.614193414451967
"harmL =~ Q8_2","=~",0.782377089003053,0.0729853182159965,10.7196503094999,0,0.782377089003053,0.704033537758112
"harmL =~ Q8_3","=~",0.401603724022972,0.0863226291186359,4.65235741917725,3.28161635687607e-06,0.401603724022972,0.378449500922716
"harmL =~ harm_orig","=~",-0.0575168046997381,0.0768127337035451,-0.748792575482619,0.453982235379022,-0.0575168046997381,-0.0476362739790981
"fairL =~ Q8_4","=~",0.809524429526771,0.0684989136061894,11.8180623152777,0,0.809524429526771,0.755639988386519
"fairL =~ Q8_5","=~",0.565177557942581,0.0847828495485295,6.66617789980124,2.62549981755456e-11,0.565177557942581,0.521534548414902
"fairL =~ Q8_6","=~",0.242871382091494,0.084999187854416,2.85733767841967,0.00427211079860901,0.242871382091494,0.22741741621281
"fairL =~ fair_orig","=~",-0.00874303609887253,0.0549487959314541,-0.159112423678565,0.873580300236453,-0.00874303609887253,-0.00917464821007594
"ingroupL =~ Q8_7","=~",0.842993016401632,0.066816565622357,12.6165271822885,0,0.842993016401632,0.627921405822913
"ingroupL =~ Q8_8","=~",0.889666369066157,0.0573537398813023,15.5119155421667,0,0.889666369066157,0.727227479922546
"ingroupL =~ Q8_9","=~",1.03008747562442,0.0572207422263675,18.0019943039074,0,1.03008747562442,0.817740942128946
"ingroupL =~ ingroup_orig","=~",-0.140452505773385,0.0771244773932557,-1.82111452188158,0.0685894502605335,-0.140452505773385,-0.100793985508382
"authorityL =~ Q8_10","=~",1.01477115292259,0.0576938039149274,17.5889104906121,0,1.01477115292259,0.808433684654081
"authorityL =~ Q8_11","=~",1.00586859857624,0.0675722647805612,14.8858204152661,0,1.00586859857624,0.716714127692232
"authorityL =~ Q8_12","=~",0.489973472081041,0.0597523201072945,8.20007442725602,2.22044604925031e-16,0.489973472081041,0.417342511446967
"authorityL =~ authority_orig","=~",0.0358721954897952,0.034160873749416,1.05009595928173,0.293673996324215,0.0358721954897952,0.0583298970927052
"purityL =~ Q8_13","=~",0.955196616620815,0.0670041116264435,14.2557910766157,0,0.955196616620815,0.713367342659524
"purityL =~ Q8_14","=~",0.946140540407023,0.0719257931493243,13.1543984289857,0,0.946140540407023,0.669509934041861
"purityL =~ Q8_15","=~",1.11524195824338,0.0901321859274475,12.3734040927522,0,1.11524195824338,0.64253893334037
"purityL =~ purity_orig","=~",0.0476552869082142,0.04429544874177,1.0758506406839,0.281994059930778,0.0476552869082142,0.0580434747777939
"mfq =~ Q8_1","=~",0.517161115609534,0.0809827116609134,6.38606814964364,1.70205183280814e-10,0.517161115609534,0.487886557994664
"mfq =~ Q8_2","=~",0.440823899432729,0.0900100021936626,4.89749904109842,9.70641078179568e-07,0.440823899432729,0.396681873495837
"mfq =~ Q8_3","=~",0.854866517395305,0.0634370898985471,13.4758154695063,0,0.854866517395305,0.805579698372736
"mfq =~ Q8_4","=~",0.571852079637872,0.0819537907474251,6.97773799628468,2.99960056793225e-12,0.571852079637872,0.533787842658401
"mfq =~ Q8_5","=~",0.649447641165612,0.0740178862865065,8.7741986937015,0,0.649447641165612,0.599297296034606
"mfq =~ Q8_6","=~",0.782907001769936,0.0619405994977755,12.639641981477,0,0.782907001769936,0.733090436362581
"mfq =~ Q8_7","=~",0.198311430651314,0.0839417831368177,2.3624877056529,0.01815274353489,0.198311430651314,0.147716517103385
"mfq =~ Q8_8","=~",0.391220071647535,0.0756332417243327,5.17259425522775,2.30865974781835e-07,0.391220071647535,0.319789526379409
"mfq =~ Q8_9","=~",0.330832788624659,0.0809155303599955,4.08861917054457,4.33948597560185e-05,0.330832788624659,0.262633536140297
"mfq =~ Q8_10","=~",0.262654396760292,0.0795182526152644,3.30307052936765,0.000956323317782948,0.262654396760292,0.20924783006688
"mfq =~ Q8_11","=~",0.0215905032072533,0.0896659575646665,0.24078818532309,0.80971928700231,0.0215905032072533,0.0153839365246374
"mfq =~ Q8_12","=~",0.53029564077926,0.0658830446665439,8.04904575165377,8.88178419700125e-16,0.53029564077926,0.451687544617905
"mfq =~ Q8_13","=~",0.311706668700123,0.083817017443676,3.71889478064029,0.00020009637501639,0.311706668700123,0.232791190913661
"mfq =~ Q8_14","=~",0.24358298629542,0.0885132369513576,2.75193851998974,0.00592436419387488,0.24358298629542,0.172364698608317
"mfq =~ Q8_15","=~",0.0580440416087943,0.110237982442345,0.526533961551333,0.598517261898709,0.0580440416087943,0.0334416727297662
"mfd =~ harm_orig","=~",0.0854831198616998,0.0834800245008207,1.02399490624083,0.305837680845104,0.0854831198616998,0.0707983925667998
"mfd =~ fair_orig","=~",0.615014885194515,0.15319258426549,4.01465180670017,5.95336164652682e-05,0.615014885194515,0.6453759485618
"mfd =~ ingroup_orig","=~",-0.229805032107066,0.096838119094867,-2.37308442434676,0.0176402313686941,-0.229805032107066,-0.16491670937737
"mfd =~ authority_orig","=~",0.0140457714356785,0.0424066349670415,0.331216363821249,0.740481060632051,0.0140457714356785,0.0228390928195029
"mfd =~ purity_orig","=~",0.448233847220355,0.113786049641775,3.93926890538426,8.17302842417433e-05,0.448233847220355,0.545942574132394
"harmL ~~ mfq","~~",0,0,NA,NA,0,0
"fairL ~~ mfq","~~",0,0,NA,NA,0,0
"ingroupL ~~ mfq","~~",0,0,NA,NA,0,0
"authorityL ~~ mfq","~~",0,0,NA,NA,0,0
"purityL ~~ mfq","~~",0,0,NA,NA,0,0
"harmL ~~ mfd","~~",0,0,NA,NA,0,0
"fairL ~~ mfd","~~",0,0,NA,NA,0,0
"ingroupL ~~ mfd","~~",0,0,NA,NA,0,0
"authorityL ~~ mfd","~~",0,0,NA,NA,0,0
"purityL ~~ mfd","~~",0,0,NA,NA,0,0
"Q8_1 ~~ Q8_1","~~",0.432288454798605,0.0463241564267801,9.33181493508422,0,0.432288454798605,0.384733156171954
"Q8_2 ~~ Q8_2","~~",0.428499512090231,0.0673873221667817,6.35875559841518,2.03394634468168e-10,0.428499512090231,0.34698026895163
"Q8_3 ~~ Q8_3","~~",0.234024506928346,0.0423967664442276,5.51986688032453,3.39256571724178e-08,0.234024506928346,0.207817324821038
"harm_orig ~~ harm_orig","~~",1.44723811998681,0.104649900400496,13.8293310786558,0,1.44723811998681,0.992718373011346
"Q8_4 ~~ Q8_4","~~",0.165359814355611,0.0770443649752592,2.14629342987916,0.0318495754551542,0.165359814355611,0.144078746981311
"Q8_5 ~~ Q8_5","~~",0.433158581356562,0.0439821229118039,9.84851463912195,0,0.433158581356562,0.368844465775274
"Q8_6 ~~ Q8_6","~~",0.468596266222251,0.0533596546869089,8.78184592782259,0,0.468596266222251,0.41085973091681
"fair_orig ~~ fair_orig","~~",0.529805396386449,0.184854172332934,2.86607215677142,0.00415599505487863,0.529805396386449,0.583405710848179
"Q8_7 ~~ Q8_7","~~",1.05237807142997,0.0865242497349193,12.1628107109175,0,1.05237807142997,0.583894538684222
"Q8_8 ~~ Q8_8","~~",0.552068327798418,0.0545907687502885,10.1128513196748,0,0.552068327798418,0.368874851263536
"Q8_9 ~~ Q8_9","~~",0.416249499250774,0.0563877277938149,7.38191651865838,1.56097357262297e-13,0.416249499250774,0.262323377260507
"ingroup_orig ~~ ingroup_orig","~~",1.86919679520006,0.138075629590231,13.5374852227529,0,1.86919679520006,0.962643051453476
"Q8_10 ~~ Q8_10","~~",0.476857443668373,0.0602899745664936,7.90939865370897,2.66453525910038e-15,0.476857443668373,0.302650323128928
"Q8_11 ~~ Q8_11","~~",0.957419060927737,0.0886364959625434,10.8016348179234,0,0.957419060927737,0.48608419366337
"Q8_12 ~~ Q8_12","~~",0.857063715897912,0.0697610046954979,12.2857134818935,0,0.857063715897912,0.621803590176187
"authority_orig ~~ authority_orig","~~",0.376726326263125,0.0271116671711251,13.8953581823383,0,0.376726326263125,0.996075998944337
"Q8_13 ~~ Q8_13","~~",0.783350910212082,0.0826389867292881,9.47919306874142,0,0.783350910212082,0.436915295859889
"Q8_14 ~~ Q8_14","~~",1.04257363829681,0.0977487931229074,10.6658466563971,0,1.04257363829681,0.522046858892928
"Q8_15 ~~ Q8_15","~~",1.76545123124716,0.159749703699501,11.051358408577,0,1.76545123124716,0.586025373666855
"purity_orig ~~ purity_orig","~~",0.470901488751121,0.101696111192012,4.63047685139124,3.64824569865085e-06,0.470901488751121,0.698577660785415
"harmL ~~ harmL","~~",1,0,NA,NA,1,1
"fairL ~~ fairL","~~",1,0,NA,NA,1,1
"ingroupL ~~ ingroupL","~~",1,0,NA,NA,1,1
"authorityL ~~ authorityL","~~",1,0,NA,NA,1,1
"purityL ~~ purityL","~~",1,0,NA,NA,1,1
"mfq ~~ mfq","~~",1,0,NA,NA,1,1
"mfd ~~ mfd","~~",1,0,NA,NA,1,1
"harmL ~~ fairL","~~",0.654616347618947,0.0773365665554293,8.46451267201997,0,0.654616347618947,0.654616347618947
"harmL ~~ ingroupL","~~",0.316363658582704,0.0743925322621418,4.25262656025625,2.11277740052029e-05,0.316363658582704,0.316363658582704
"harmL ~~ authorityL","~~",0.269642038127202,0.0758087732519608,3.55687114512472,0.00037529812301873,0.269642038127202,0.269642038127202
"harmL ~~ purityL","~~",0.353877540448179,0.0741350024155868,4.77342050202424,1.81123064102451e-06,0.353877540448179,0.353877540448179
"fairL ~~ ingroupL","~~",0.221794956816393,0.0767504586575791,2.88981930135334,0.00385463326009527,0.221794956816393,0.221794956816393
"fairL ~~ authorityL","~~",0.152066669312678,0.0768653147246291,1.97835226275283,0.047888981066859,0.152066669312678,0.152066669312678
"fairL ~~ purityL","~~",0.168529294498595,0.0790680001074048,2.13144754223792,0.0330522897289329,0.168529294498595,0.168529294498595
"ingroupL ~~ authorityL","~~",0.808175295027848,0.0343752716388511,23.5103682530452,0,0.808175295027848,0.808175295027848
"ingroupL ~~ purityL","~~",0.607088192463313,0.0494318167702335,12.2813247039887,0,0.607088192463313,0.607088192463313
"authorityL ~~ purityL","~~",0.798486871985864,0.0395396975804971,20.1945619427225,0,0.798486871985864,0.798486871985864
"mfq ~~ mfd","~~",0.118326351523696,0.0799527200160208,1.47995404659136,0.138885510697798,0.118326351523696,0.118326351523696
