"term","op","estimate","std.error","statistic","p.value","std.lv","std.all"
"harmL =~ Q8_1","=~",0.651043850367712,0.072509227656812,8.97877237707065,0,0.651043850367712,0.613110741292936
"harmL =~ Q8_2","=~",0.769131574395028,0.0732083814234182,10.5060589981709,0,0.769131574395028,0.69097767728101
"harmL =~ Q8_3","=~",0.388141681108233,0.0840672180174578,4.61703967684086,3.89252869159584e-06,0.388141681108233,0.365114187626112
"harmL =~ harm_all","=~",-0.0937854451541391,0.172685399856463,-0.543100026013166,0.587060934733275,-0.0937854451541391,-0.0308486668241878
"fairL =~ Q8_4","=~",0.819483306252037,0.0685400839798258,11.9562635273871,0,0.819483306252037,0.762712498775934
"fairL =~ Q8_5","=~",0.545428683773604,0.0836222704008113,6.52252900046005,6.91315893419642e-11,0.545428683773604,0.502203780633971
"fairL =~ Q8_6","=~",0.232951931811418,0.0815762501987231,2.85563422250885,0.00429509639729275,0.232951931811418,0.217876256478809
"fairL =~ fair_all","=~",0.245981910579404,0.114136788225568,2.15515010018743,0.0311500902781674,0.245981910579404,0.103484714103252
"ingroupL =~ Q8_7","=~",0.841755713846639,0.0669085914937584,12.5806820178715,0,0.841755713846639,0.626479460780582
"ingroupL =~ Q8_8","=~",0.886999882531629,0.0573004432561028,15.4798083946263,0,0.886999882531629,0.723540805270119
"ingroupL =~ Q8_9","=~",1.02584931566389,0.0573111187309237,17.8996560943133,0,1.02584931566389,0.812812828107617
"ingroupL =~ ingroup_all","=~",0.0805819183959418,0.110564224772101,0.728824523140645,0.466109008699133,0.0805819183959418,0.0306552881365649
"authorityL =~ Q8_10","=~",1.01075188327285,0.0578149356280027,17.4825392832106,0,1.01075188327285,0.80397574494781
"authorityL =~ Q8_11","=~",1.00624650827909,0.0676766402371577,14.8684465533886,0,1.00624650827909,0.716912781968785
"authorityL =~ Q8_12","=~",0.484157940596631,0.0595183424663335,8.13460053714524,4.44089209850063e-16,0.484157940596631,0.411671368239546
"authorityL =~ authority_all","=~",-0.00195959962246283,0.112004016687461,-0.0174957977438519,0.986041085249022,-0.00195959962246283,-0.000926622730311592
"purityL =~ Q8_13","=~",0.952636741195123,0.0670702460193903,14.2035671215476,0,0.952636741195123,0.710415370269733
"purityL =~ Q8_14","=~",0.944186872096987,0.0720518320780813,13.1042729222178,0,0.944186872096987,0.667448909849818
"purityL =~ Q8_15","=~",1.11026759986919,0.090430154845227,12.2776257739405,0,1.11026759986919,0.639553781461103
"purityL =~ purity_all","=~",-0.100663463548184,0.117165920855252,-0.85915309514398,0.390256057363374,-0.100663463548184,-0.0457958815673337
"mfq =~ Q8_1","=~",0.525900037093977,0.0785205662009276,6.6976088245243,2.11857198451071e-11,0.525900037093977,0.49525843982177
"mfq =~ Q8_2","=~",0.46052722637684,0.0865608582497792,5.32027102882861,1.03612778357132e-07,0.46052722637684,0.413731595217413
"mfq =~ Q8_3","=~",0.863711416183823,0.0616593110258562,14.007801933136,0,0.863711416183823,0.812469537316759
"mfq =~ Q8_4","=~",0.583874866904728,0.0790624875445704,7.38497971715824,1.52544643583497e-13,0.583874866904728,0.543426150736507
"mfq =~ Q8_5","=~",0.664592177232445,0.0708078162594192,9.38585896785142,0,0.664592177232445,0.61192363715956
"mfq =~ Q8_6","=~",0.786680607249362,0.060471783314742,13.0090525552201,0,0.786680607249362,0.735769926521665
"mfq =~ Q8_7","=~",0.215835809055795,0.0830163394499961,2.59991961203976,0.00932456009005045,0.215835809055795,0.160636511341877
"mfq =~ Q8_8","=~",0.406434297015607,0.0747876657263375,5.4345097292223,5.4947299155117e-08,0.406434297015607,0.331535329759845
"mfq =~ Q8_9","=~",0.347330342173693,0.079811407193956,4.35188846288124,1.34969924188155e-05,0.347330342173693,0.275200805224579
"mfq =~ Q8_10","=~",0.278776413051432,0.0786444425017523,3.54476939734451,0.000392956712980785,0.278776413051432,0.221745294830582
"mfq =~ Q8_11","=~",0.0430752002676531,0.0886403126404239,0.485954967717577,0.626999094511488,0.0430752002676531,0.0306894596936883
"mfq =~ Q8_12","=~",0.541613806413674,0.0654855905715373,8.27073256401357,2.22044604925031e-16,0.541613806413674,0.460525126302756
"mfq =~ Q8_13","=~",0.333553997762091,0.0825619282418008,4.04004611889883,5.34406917920283e-05,0.333553997762091,0.248743174158732
"mfq =~ Q8_14","=~",0.266060533921823,0.0872512437431276,3.04936093180654,0.00229328780597227,0.266060533921823,0.188079095958814
