"Word","Freq","percent"
"famili",73,16.7048054919908
"friend",167,38.2151029748284
"cheat",39,8.92448512585812
"cross",1,0.22883295194508
"doubl",1,0.22883295194508
"faith",28,6.40732265446224
"relationship",53,12.1281464530892
"respect",25,5.720823798627
"trust",104,23.7986270022883
"lie",56,12.8146453089245
"truth",29,6.63615560640732
"husband",8,1.83066361556064
"love",49,11.2128146453089
"selfish",7,1.60183066361556
"best",8,1.83066361556064
"cat",4,0.91533180778032
"dog",61,13.9588100686499
"hate",12,2.74599542334096
"honesti",37,8.46681922196796
"man",2,0.45766590389016
"reveng",6,1.37299771167048
"vendetta",1,0.22883295194508
"honest",30,6.8649885583524
"honor",25,5.720823798627
"backstabb",15,3.4324942791762
"abus",1,0.22883295194508
"boy",2,0.45766590389016
"boyfriend",19,4.34782608695652
"cheater",4,0.91533180778032
"foe",2,0.45766590389016
"irrespons",1,0.22883295194508
"men",1,0.22883295194508
"shame",3,0.68649885583524
"untrustworthi",18,4.11899313501144
"benedict",6,1.37299771167048
"traitor",9,2.05949656750572
"true",20,4.5766590389016
"turncoat",3,0.68649885583524
"broken",7,1.60183066361556
"disrespect",8,1.83066361556064
"heart",2,0.45766590389016
"angri",2,0.45766590389016
"dishonest",18,4.11899313501144
"lifelong",1,0.22883295194508
"backstab",30,6.8649885583524
"countri",11,2.51716247139588
"patriot",6,1.37299771167048
"friendship",56,12.8146453089245
"gossip",3,0.68649885583524
"devot",8,1.83066361556064
"fals",5,1.1441647597254
"sincer",1,0.22883295194508
"back",12,2.74599542334096
"get",1,0.22883295194508
"harm",7,1.60183066361556
"moral",3,0.68649885583524
"pet",7,1.60183066361556
"religion",2,0.45766590389016
"valu",5,1.1441647597254
"vengeanc",1,0.22883295194508
"fair",4,0.91533180778032
"bad",16,3.66132723112128
"good",18,4.11899313501144
"pure",1,0.22883295194508
"assur",1,0.22883295194508
"integr",5,1.1441647597254
"anger",8,1.83066361556064
"disbelief",1,0.22883295194508
"sad",14,3.20366132723112
"signific",2,0.45766590389016
"wrong",7,1.60183066361556
"group",5,1.1441647597254
"king",9,2.05949656750572
"lion",2,0.45766590389016
"trustworthi",35,8.0091533180778
"commit",11,2.51716247139588
"conniv",1,0.22883295194508
"dedic",3,0.68649885583524
"hurt",52,11.8993135011442
"black",1,0.22883295194508
"blue",2,0.45766590389016
"britain",1,0.22883295194508
"flag",1,0.22883295194508
"red",1,0.22883295194508
"surrend",2,0.45766590389016
"white",1,0.22883295194508
"care",20,4.5766590389016
"compass",3,0.68649885583524
"hatr",7,1.60183066361556
"forev",3,0.68649885583524
"rivalri",1,0.22883295194508
"sisterhood",1,0.22883295194508
"anim",3,0.68649885583524
"peopl",6,1.37299771167048
"conundrum",1,0.22883295194508
"necessari",1,0.22883295194508
"sensit",1,0.22883295194508
"one",1,0.22883295194508
"enemi",43,9.83981693363844
"prioriti",1,0.22883295194508
"qualiti",1,0.22883295194508
"wife",7,1.60183066361556
"girlfriend",10,2.2883295194508
"boss",2,0.45766590389016
"rumor",3,0.68649885583524
"secret",7,1.60183066361556
"brotherhood",3,0.68649885583524
"pledg",1,0.22883295194508
"jessica",1,0.22883295194508
"selfesteem",1,0.22883295194508
"knight",6,1.37299771167048
"stab",9,2.05949656750572
"uniti",2,0.45766590389016
"help",4,0.91533180778032
"manipul",1,0.22883295194508
"alon",4,0.91533180778032
"mean",14,3.20366132723112
"nice",4,0.91533180778032
"uncar",2,0.45766590389016
"unfeel",1,0.22883295194508
"heartbroken",3,0.68649885583524
"mistrust",5,1.1441647597254
"close",2,0.45766590389016
"isol",1,0.22883295194508
"lone",1,0.22883295194508
"side",4,0.91533180778032
"stay",4,0.91533180778032
"kind",4,0.91533180778032
"steal",1,0.22883295194508
"distrust",9,2.05949656750572
"pain",10,2.2883295194508
"belief",2,0.45766590389016
"betray",15,3.4324942791762
"loyalti",12,2.74599542334096
"resent",1,0.22883295194508
"contract",1,0.22883295194508
"heartbreak",6,1.37299771167048
"dishonor",6,1.37299771167048
"loyal",8,1.83066361556064
"snitch",1,0.22883295194508
"treason",7,1.60183066361556
"bond",8,1.83066361556064
"deceit",5,1.1441647597254
"damag",2,0.45766590389016
"militari",4,0.91533180778032
"promis",8,1.83066361556064
"correct",1,0.22883295194508
"evil",9,2.05949656750572
"inconsider",1,0.22883295194508
"just",1,0.22883295194508
"jerk",1,0.22883295194508
"rude",6,1.37299771167048
"tricki",1,0.22883295194508
"unhonest",1,0.22883295194508
"depress",1,0.22883295194508
"loss",2,0.45766590389016
"hope",2,0.45766590389016
"nonexist",1,0.22883295194508
"crook",1,0.22883295194508
"greedi",1,0.22883295194508
"right",5,1.1441647597254
"disgust",2,0.45766590389016
"fight",9,2.05949656750572
"marriag",13,2.97482837528604
"partnership",1,0.22883295194508
"scheme",1,0.22883295194508
"fairi",1,0.22883295194508
"tail",1,0.22883295194508
"jealousi",1,0.22883295194508
"liar",8,1.83066361556064
"strong",4,0.91533180778032
"unhappi",1,0.22883295194508
"affair",4,0.91533180778032
"whi",2,0.45766590389016
"betrayalleav",1,0.22883295194508
"doesnt",1,0.22883295194508
"happi",5,1.1441647597254
"loyalalway",1,0.22883295194508
"never",3,0.68649885583524
"respons",5,1.1441647597254
"divorc",4,0.91533180778032
"father",1,0.22883295194508
"loyalist",1,0.22883295194508
"mother",1,0.22883295194508
"queen",3,0.68649885583524
"rebel",1,0.22883295194508
"rebellion",1,0.22883295194508
"revolt",1,0.22883295194508
"revolut",1,0.22883295194508
"strike",1,0.22883295194508
"war",4,0.91533180778032
