"Word","Freq","percent"
"sex",49,11.2128146453089
"devil",2,0.45766590389016
"faith",10,2.2883295194508
"moral",21,4.80549199084668
"religion",30,6.8649885583524
"standard",2,0.45766590389016
"flower",1,0.22883295194508
"genuin",4,0.91533180778032
"honesti",10,2.2883295194508
"life",1,0.22883295194508
"truth",5,1.1441647597254
"imag",2,0.45766590389016
"sexual",3,0.68649885583524
"abus",8,1.83066361556064
"clean",99,22.6544622425629
"mistreat",2,0.45766590389016
"sacr",2,0.45766590389016
"virgin",98,22.4256292906178
"whole",9,2.05949656750572
"wrong",10,2.2883295194508
"innoc",58,13.2723112128146
"crazi",1,0.22883295194508
"delusion",1,0.22883295194508
"diminish",1,0.22883295194508
"disregard",1,0.22883295194508
"downhil",1,0.22883295194508
"downward",1,0.22883295194508
"fals",3,0.68649885583524
"god",38,8.69565217391304
"imposs",2,0.45766590389016
"insignific",1,0.22883295194508
"lose",3,0.68649885583524
"loss",4,0.91533180778032
"ring",25,5.720823798627
"shame",26,5.94965675057208
"corrupt",5,1.1441647597254
"dirti",38,8.69565217391304
"holi",14,3.20366132723112
"vile",2,0.45766590389016
"simpl",4,0.91533180778032
"torment",2,0.45766590389016
"torn",3,0.68649885583524
"love",10,2.2883295194508
"mean",22,5.03432494279176
"brown",2,0.45766590389016
"white",78,17.8489702517162
"damag",1,0.22883295194508
"pure",36,8.23798627002288
"untouch",12,2.74599542334096
"injustic",1,0.22883295194508
"person",2,0.45766590389016
"treat",1,0.22883295194508
"lower",2,0.45766590389016
"modest",3,0.68649885583524
"nonhuman",1,0.22883295194508
"dishonor",2,0.45766590389016
"downgrad",4,0.91533180778032
"evil",9,2.05949656750572
"cruel",3,0.68649885583524
"good",32,7.32265446224256
"harm",9,2.05949656750572
"honest",11,2.51716247139588
"light",3,0.68649885583524
"put",5,1.1441647597254
"right",8,1.83066361556064
"righteous",3,0.68649885583524
"hurt",13,2.97482837528604
"unpur",1,0.22883295194508
"conserv",2,0.45766590389016
"quiet",1,0.22883295194508
"shi",1,0.22883295194508
"smart",1,0.22883295194508
"young",8,1.83066361556064
"relationship",6,1.37299771167048
"child",7,1.60183066361556
